OrderID,ContactName,Country,Freight,NewFreight
10643,Maria Anders,Germany,29.4600,32.4060
10692,Maria Anders,Germany,61.0200,67.1220
10702,Maria Anders,Germany,23.9400,26.3340
10835,Maria Anders,Germany,69.5300,76.4830
10952,Maria Anders,Germany,40.4200,44.4620
11011,Maria Anders,Germany,1.2100,1.3310
10308,Ana Trujillo,Mexico,1.6100,1.6905
10625,Ana Trujillo,Mexico,43.9000,46.0950
10759,Ana Trujillo,Mexico,11.9900,12.5895
10926,Ana Trujillo,Mexico,39.9200,41.9160
10365,Antonio Moreno,Mexico,22.0000,23.1000
10507,Antonio Moreno,Mexico,47.4500,49.8225
10535,Antonio Moreno,Mexico,15.6400,16.4220
10573,Antonio Moreno,Mexico,84.8400,89.0820
10677,Antonio Moreno,Mexico,4.0300,4.2315
10682,Antonio Moreno,Mexico,36.1300,37.9365
10856,Antonio Moreno,Mexico,58.4300,61.3515
10355,Thomas Hardy,UK,41.9500,44.0475
10383,Thomas Hardy,UK,34.2400,35.9520
10453,Thomas Hardy,UK,25.3600,26.6280
10558,Thomas Hardy,UK,72.9700,76.6185
10707,Thomas Hardy,UK,21.7400,22.8270
10741,Thomas Hardy,UK,10.9600,11.5080
10743,Thomas Hardy,UK,23.7200,24.9060
10768,Thomas Hardy,UK,146.3200,153.6360
10793,Thomas Hardy,UK,4.5200,4.7460
10864,Thomas Hardy,UK,3.0400,3.1920
10920,Thomas Hardy,UK,29.6100,31.0905
10953,Thomas Hardy,UK,23.7200,24.9060
11016,Thomas Hardy,UK,33.8000,35.4900
10278,Christina Berglund,Sweden,92.6900,97.3245
10280,Christina Berglund,Sweden,8.9800,9.4290
10384,Christina Berglund,Sweden,168.6400,177.0720
10444,Christina Berglund,Sweden,3.5000,3.6750
10445,Christina Berglund,Sweden,9.3000,9.7650
10524,Christina Berglund,Sweden,244.7900,257.0295
10572,Christina Berglund,Sweden,116.4300,122.2515
10626,Christina Berglund,Sweden,138.6900,145.6245
10654,Christina Berglund,Sweden,55.2600,58.0230
10672,Christina Berglund,Sweden,95.7500,100.5375
10689,Christina Berglund,Sweden,13.4200,14.0910
10733,Christina Berglund,Sweden,110.1100,115.6155
10778,Christina Berglund,Sweden,6.7900,7.1295
10837,Christina Berglund,Sweden,13.3200,13.9860
10857,Christina Berglund,Sweden,188.8500,198.2925
10866,Christina Berglund,Sweden,109.1100,114.5655
10875,Christina Berglund,Sweden,32.3700,33.9885
10924,Christina Berglund,Sweden,151.5200,159.0960
10501,Hanna Moos,Germany,8.8500,9.7350
10509,Hanna Moos,Germany,0.1500,0.1650
10582,Hanna Moos,Germany,27.7100,30.4810
10614,Hanna Moos,Germany,1.9300,2.1230
10853,Hanna Moos,Germany,53.8300,59.2130
10956,Hanna Moos,Germany,44.6500,49.1150
11058,Hanna Moos,Germany,31.1400,34.2540
10265,FrÃ©dÃ©rique Citeaux,France,55.2800,60.8080
10297,FrÃ©dÃ©rique Citeaux,France,5.7400,6.3140
10360,FrÃ©dÃ©rique Citeaux,France,131.7000,144.8700
10436,FrÃ©dÃ©rique Citeaux,France,156.6600,172.3260
10449,FrÃ©dÃ©rique Citeaux,France,53.3000,58.6300
10559,FrÃ©dÃ©rique Citeaux,France,8.0500,8.8550
10566,FrÃ©dÃ©rique Citeaux,France,88.4000,97.2400
10584,FrÃ©dÃ©rique Citeaux,France,59.1400,65.0540
10628,FrÃ©dÃ©rique Citeaux,France,30.3600,33.3960
10679,FrÃ©dÃ©rique Citeaux,France,27.9400,30.7340
10826,FrÃ©dÃ©rique Citeaux,France,7.0900,7.7990
10326,MartÃ­n Sommer,Spain,77.9200,81.8160
10801,MartÃ­n Sommer,Spain,97.0900,101.9445
10970,MartÃ­n Sommer,Spain,16.1600,16.9680
10331,Laurence Lebihan,France,10.1900,11.2090
10340,Laurence Lebihan,France,166.3100,182.9410
10362,Laurence Lebihan,France,96.0400,105.6440
10470,Laurence Lebihan,France,64.5600,71.0160
10511,Laurence Lebihan,France,350.6400,385.7040
10525,Laurence Lebihan,France,11.0600,12.1660
10663,Laurence Lebihan,France,113.1500,124.4650
10715,Laurence Lebihan,France,63.2000,69.5200
10730,Laurence Lebihan,France,20.1200,22.1320
10732,Laurence Lebihan,France,16.9700,18.6670
10755,Laurence Lebihan,France,16.7100,18.3810
10827,Laurence Lebihan,France,63.5400,69.8940
10871,Laurence Lebihan,France,112.2700,123.4970
10876,Laurence Lebihan,France,60.4200,66.4620
10932,Laurence Lebihan,France,134.6400,148.1040
10940,Laurence Lebihan,France,19.7700,21.7470
11076,Laurence Lebihan,France,38.2800,42.1080
10389,Elizabeth Lincoln,Canada,47.4200,54.5330
10410,Elizabeth Lincoln,Canada,2.4000,2.7600
10411,Elizabeth Lincoln,Canada,23.6500,27.1975
10431,Elizabeth Lincoln,Canada,44.1700,50.7955
10492,Elizabeth Lincoln,Canada,62.8900,72.3235
10742,Elizabeth Lincoln,Canada,243.7300,280.2895
10918,Elizabeth Lincoln,Canada,48.8300,56.1545
10944,Elizabeth Lincoln,Canada,52.9200,60.8580
10949,Elizabeth Lincoln,Canada,74.4400,85.6060
10975,Elizabeth Lincoln,Canada,32.2700,37.1105
10982,Elizabeth Lincoln,Canada,14.0100,16.1115
11027,Elizabeth Lincoln,Canada,52.5200,60.3980
11045,Elizabeth Lincoln,Canada,70.5800,81.1670
11048,Elizabeth Lincoln,Canada,24.1200,27.7380
10289,Victoria Ashworth,UK,22.7700,23.9085
10471,Victoria Ashworth,UK,45.5900,47.8695
10484,Victoria Ashworth,UK,6.8800,7.2240
10538,Victoria Ashworth,UK,4.8700,5.1135
10539,Victoria Ashworth,UK,12.3600,12.9780
10578,Victoria Ashworth,UK,29.6000,31.0800
10599,Victoria Ashworth,UK,29.9800,31.4790
10943,Victoria Ashworth,UK,2.1700,2.2785
10947,Victoria Ashworth,UK,3.2600,3.4230
11023,Victoria Ashworth,UK,123.8300,130.0215
